Soma de casos_dengue,Nome_estado
2535416,São Paulo
2285503,Minas Gerais
1412425,Rio De Janeiro
1144679,Goiás
736007,Bahia
600620,Ceará
519593,Pernambuco
464458,Espírito Santo
423661,Mato Grosso Do Sul
370805,Paraná
366528,Rio Grande Do Norte
304158,Mato Grosso
232267,Alagoas
214173,Paraíba
193872,Pará
160641,Amazonas
146848,Acre
130033,Maranhão
127002,Tocantins
125176,Distrito Federal
124812,Piauí
99608,Rondônia
71094,Sergipe
40176,Amapá
39127,Roraima
13760,Santa Catarina
12851,Rio Grande Do Sul
