Soma de casos_dengue,Nome_microregiao
1087032,Metropolitana De Belo Horizonte
1057043,Metropolitana Do Rio De Janeiro
811462,Centro Goiano
508369,Metropolitana De São Paulo
397921,Campinas
348374,Ribeirão Preto
332038,São José Do Rio Preto
328754,Metropolitana De Fortaleza
291561,Central Espírito-Santense
259855,Triângulo Mineiro/Alto Paranaíba
251945,Metropolitana De Recife
241225,Centro Norte De Mato Grosso Do Sul
207684,Leste Potiguar
198502,Zona Da Mata
191372,Vale Do Rio Doce
178463,Sul Baiano
178131,Sul Goiano
165693,Centro Norte Baiano
161219,Vale Do Paraíba Paulista
146110,Araçatuba
142350,Centro Amazonense
141885,Norte Central Paranaense
139802,Sul Fluminense
136986,Leste Alagoano
130197,Norte De Minas
127490,Agreste Pernambucano
125176,Distrito Federal
125051,Metropolitana De Salvador
122856,Norte Mato-Grossense
120700,Centro Sul Baiano
115020,Piracicaba
112617,Oeste De Minas
112441,Macro Metropolitana Paulista
109213,Leste Goiano
104209,Vale Do Acre
101062,Sudoeste De Mato Grosso Do Sul
100653,Bauru
98555,Araraquara
84050,Centro-Sul Mato-Grossense
81656,Sul Espírito-Santense
80985,Central Mineira
80840,Oeste Paranaense
80421,Presidente Prudente
77381,Centro-Norte Piauiense
75415,Sertão Paraibano
72253,Agreste Alagoano
71572,Sul/Sudoeste De Minas
71514,Nordeste Baiano
71436,Leste Rondoniense
69495,Sudeste Paraense
69136,Baixadas
68153,Mata Paraibana
66173,Mata Pernambucana
66108,Norte Fluminense
65807,Oriental Do Tocantins
63554,Sertões Cearenses
62264,Noroeste Paranaense
61195,Ocidental Do Tocantins
60046,Central Potiguar
59042,Oeste Potiguar
58377,Leste De Mato Grosso Do Sul
56299,Sertão Pernambucano
54717,Noroeste Cearense
53758,Sul Cearense
52839,Noroeste De Minas
52770,Marília
50672,Leste Sergipano
48806,Noroeste Fluminense
48623,Norte Maranhense
47645,Litoral Norte Espírito-Santense
46810,Metropolitana De Belém
43596,Noroeste Espírito-Santense
43495,Norte Cearense
43353,Assis
42999,Agreste Paraibano
42639,Vale Do Juruá
40294,Vale Do Mucuri
39756,Agreste Potiguar
39230,Vale São-Franciscano Da Bahia
38098,Jequitinhonha
35356,Extremo Oeste Baiano
33726,Sul Do Amapá
33399,Sudeste Mato-Grossense
32096,Sudoeste Mato-Grossense
32081,Litoral Sul Paulista
31962,Norte Pioneiro Paranaense
31757,Nordeste Mato-Grossense
31530,Centro Fluminense
31018,Norte De Roraima
30395,Jaguaribe
28172,Madeira-Guaporé
27606,Borborema
27220,Centro Maranhense
26510,Nordeste Paraense
25947,Centro-Sul Cearense
25397,Centro Ocidental Paranaense
25002,Norte Goiano
24285,Baixo Amazonas
23092,Sudoeste Paraense
23028,Sertão Alagoano
22997,Pantanais Sul Mato-Grossense
22325,Leste Maranhense
22140,Campo Das Vertentes
22019,Oeste Maranhense
20871,Noroeste Goiano
19739,Metropolitana De Curitiba
18736,Sudeste Piauiense
17686,São Francisco Pernambucano
15240,Norte Piauiense
14405,Agreste Sergipano
13455,Sudoeste Piauiense
9846,Sul Maranhense
8638,Noroeste Rio-Grandense
8109,Sul De Roraima
6962,Sul Amazonense
6888,Sudoeste Paranaense
6723,Vale Do Itajaí
6450,Norte Do Amapá
6265,Sudoeste Amazonense
6091,Itapetininga
6017,Sertão Sergipano
5064,Norte Amazonense
4880,Oeste Catarinense
3680,Marajó
3227,Metropolitana De Porto Alegre
1105,Grande Florianópolis
1041,Centro-Sul Paranaense
565,Norte Catarinense
470,Centro Oriental Paranaense
395,Sul Catarinense
340,Nordeste Rio-Grandense
319,Sudeste Paranaense
241,Centro Oriental Rio-Grandense
181,Sudeste Rio-Grandense
116,Centro Ocidental Rio-Grandense
108,Sudoeste Rio-Grandense
92,Serrana
